Date,Open,High,Low,Close,Adj Close,Volume
2021-05-07,123.389999,125.320000,123.089996,124.430000,124.197647,2016000
2021-05-10,123.129997,123.370003,119.510002,119.589996,119.366676,1727400
2021-05-11,115.980003,121.470001,114.430000,121.230003,121.003624,2076700
2021-05-12,118.290001,119.389999,116.160004,116.870003,116.651764,3534900
2021-05-13,118.779999,118.849998,114.239998,114.610001,114.395981,2539300
2021-05-14,115.720001,118.809998,114.269997,118.000000,117.779655,1919000
2021-05-17,117.120003,119.290001,116.180000,118.139999,117.919388,1507900
2021-05-18,118.570000,119.919998,117.419998,117.809998,117.590004,1576100
2021-05-19,115.480003,121.639999,115.120003,120.760002,120.534500,3213600
2021-05-20,121.449997,124.330002,120.959999,123.989998,123.758461,1703700
2021-05-21,124.949997,125.089996,122.300003,122.809998,122.580666,1098300
2021-05-24,123.900002,124.400002,122.720001,123.769997,123.538872,1093400
2021-05-25,124.360001,125.680000,122.870003,124.089996,123.858276,1386100
2021-05-26,123.870003,124.980003,123.300003,123.699997,123.469002,1716100
2021-05-27,123.470001,123.739998,122.349998,123.019997,122.790276,1867300
2021-05-28,123.669998,128.279999,123.669998,127.000000,126.762848,1650500
2021-06-01,127.349998,131.100006,127.349998,127.930000,127.691109,1532900
2021-06-02,127.699997,130.529999,127.500000,129.139999,128.898849,2229500
2021-06-03,126.879997,128.800003,125.779999,125.830002,125.595032,1684500
2021-06-04,126.830002,129.520004,126.830002,128.630005,128.389801,1193600
2021-06-07,127.820000,129.009995,126.709999,127.730003,127.491486,839500
2021-06-08,128.550003,129.940002,126.209999,127.449997,127.212006,1398000
2021-06-09,127.839996,128.550003,125.690002,125.940002,125.704826,1138600
2021-06-10,126.000000,129.000000,125.510002,128.789993,128.549500,1218700
2021-06-11,128.570007,129.770004,127.500000,128.500000,128.260040,1337500
2021-06-14,128.759995,128.919998,126.669998,128.330002,128.090363,831000
2021-06-15,128.009995,128.559998,126.300003,127.040001,126.802773,902200
2021-06-16,127.529999,128.350006,124.230003,126.180000,125.944374,1015400
2021-06-17,126.440002,134.110001,126.209999,132.339996,132.092865,2878900
2021-06-18,131.259995,134.250000,129.710007,131.919998,131.673660,5280900
2021-06-21,131.770004,131.949997,127.099998,127.529999,127.291855,2601200
2021-06-22,128.449997,130.369995,127.669998,130.020004,129.777206,1367000
2021-06-23,129.869995,131.380005,129.520004,130.860001,130.615631,945500
2021-06-24,131.679993,135.809998,131.679993,133.710007,133.460327,1343400
2021-06-25,134.009995,134.100006,131.630005,132.119995,131.873276,2056500
2021-06-28,133.520004,136.149994,133.520004,135.360001,135.107239,1503500
2021-06-29,135.449997,140.289993,134.660004,139.570007,139.309387,1820900
2021-06-30,140.619995,145.529999,140.610001,144.639999,144.369904,4094400
2021-07-01,144.679993,144.679993,140.100006,141.809998,141.545181,2870600
2021-07-02,142.630005,144.979996,140.550003,144.559998,144.290054,1698500
2021-07-06,144.979996,145.550003,142.899994,144.169998,143.900787,2810700
2021-07-07,145.210007,145.210007,137.130005,137.440002,137.183350,2733600
2021-07-08,134.330002,135.339996,132.190002,133.770004,133.520203,2544800
2021-07-09,134.690002,136.050003,130.720001,135.589996,135.336807,1994000
2021-07-12,135.419998,136.339996,132.529999,135.080002,134.827759,2089600
2021-07-13,133.949997,135.240005,133.270004,133.960007,133.709854,1901800
2021-07-14,134.889999,135.419998,132.350006,132.740005,132.492126,917900
2021-07-15,133.050003,133.169998,128.520004,129.710007,129.467789,1309900
2021-07-16,130.110001,131.100006,128.220001,128.630005,128.389801,987100
2021-07-19,127.370003,130.110001,126.080002,129.330002,129.088501,1962700
2021-07-20,129.660004,132.169998,127.260002,131.100006,130.855194,1227200
2021-07-21,130.759995,135.470001,130.729996,135.330002,135.077286,1142200
2021-07-22,134.470001,136.520004,134.000000,136.470001,136.215164,712000
2021-07-23,137.029999,138.100006,135.199997,137.860001,137.602570,651000
2021-07-26,137.050003,138.199997,135.070007,135.440002,135.187088,1048500
2021-07-27,136.000000,136.500000,127.279999,131.000000,130.755371,3413400
2021-07-28,134.080002,140.610001,130.649994,138.539993,138.281296,3251300
2021-07-29,139.000000,148.649994,137.830002,147.250000,146.975037,3684000
2021-07-30,145.410004,151.270004,143.679993,149.839996,149.560196,3066900
2021-08-02,150.000000,152.500000,146.250000,148.979996,148.701797,5435200
2021-08-03,149.080002,150.509995,143.250000,146.460007,146.186508,5820400
