XLNX,time
220.52,12/23/21 11:45
219.71,12/23/21 12:01
219.66,12/23/21 12:16
220.52,12/23/21 12:31
220.17,12/23/21 12:46
219.46,12/23/21 13:01
218.55,12/23/21 13:15
218.3,12/23/21 13:31
218.08,12/23/21 13:46
217.9,12/23/21 14:00
218.39,12/23/21 14:16
216.79,12/23/21 14:30
217.0,12/23/21 14:45
216.11,12/23/21 15:01
216.11,12/23/21 15:16
216.11,12/23/21 15:30
216.11,12/23/21 15:46
216.11,12/24/21 08:31
216.11,12/24/21 08:45
216.11,12/24/21 09:00
216.11,12/24/21 09:16
216.11,12/24/21 09:31
216.11,12/24/21 09:46
216.11,12/24/21 10:00
216.11,12/24/21 10:15
216.11,12/24/21 10:31
216.11,12/24/21 10:45
216.11,12/24/21 11:01
216.11,12/24/21 11:15
216.11,12/24/21 11:30
216.11,12/24/21 11:46
216.11,12/24/21 12:00
216.11,12/24/21 12:16
216.11,12/24/21 12:30
216.11,12/24/21 12:45
216.11,12/24/21 13:01
216.11,12/24/21 13:16
216.11,12/24/21 13:31
216.11,12/24/21 13:45
216.11,12/24/21 14:00
216.11,12/24/21 14:16
216.11,12/24/21 14:31
216.11,12/24/21 14:46
216.11,12/24/21 15:00
216.11,12/24/21 15:16
216.11,12/24/21 15:30
216.11,12/24/21 15:45
218.35,12/27/21 08:31
219.7,12/27/21 08:46
219.1,12/27/21 09:00
219.48,12/27/21 09:16
220.03,12/27/21 09:30
220.54,12/27/21 09:45
221.2,12/27/21 10:01
221.34,12/27/21 10:15
222.0,12/27/21 10:31
221.92,12/27/21 10:45
221.56,12/27/21 11:00
222.68,12/27/21 11:15
222.36,12/27/21 11:30
221.65,12/27/21 11:45
221.55,12/27/21 12:01
221.81,12/27/21 12:15
221.4,12/27/21 12:30
221.96,12/27/21 12:45
222.53,12/27/21 13:00
222.98,12/27/21 13:16
222.56,12/27/21 13:31
222.64,12/27/21 13:46
222.2,12/27/21 14:00
222.44,12/27/21 14:15
222.77,12/27/21 14:30
222.62,12/27/21 14:46
222.78,12/27/21 15:01
222.78,12/27/21 15:16
222.78,12/27/21 15:31
222.78,12/27/21 15:46
223.11,12/28/21 08:31
219.13,12/28/21 08:46
221.06,12/28/21 09:01
219.01,12/28/21 09:16
220.46,12/28/21 09:31
221.0,12/28/21 09:46
221.12,12/28/21 10:00
220.38,12/28/21 10:16
218.99,12/28/21 10:31
219.9,12/28/21 10:46
220.71,12/28/21 11:01
221.18,12/28/21 11:16
220.41,12/28/21 11:31
219.5,12/28/21 11:45
219.67,12/28/21 12:00
219.28,12/28/21 12:16
219.66,12/28/21 12:31
219.73,12/28/21 12:46
220.58,12/28/21 13:01
220.62,12/28/21 13:16
221.61,12/28/21 13:31
221.3,12/28/21 13:46
222.06,12/28/21 14:01
222.77,12/28/21 14:16
223.0,12/28/21 14:31
222.83,12/28/21 14:46
220.27,12/28/21 15:01
220.27,12/28/21 15:16
220.27,12/28/21 15:31
220.27,12/28/21 15:46
221.72,12/29/21 08:31
219.06,12/29/21 08:46
220.46,12/29/21 09:01
217.63,12/29/21 09:16
217.85,12/29/21 09:31
218.74,12/29/21 09:46
219.4,12/29/21 10:01
219.32,12/29/21 10:16
218.0,12/29/21 10:31
217.92,12/29/21 10:45
217.38,12/29/21 11:01
216.6,12/29/21 11:16
217.0,12/29/21 11:31
216.94,12/29/21 11:45
217.09,12/29/21 12:01
216.85,12/29/21 12:15
216.68,12/29/21 12:31
216.19,12/29/21 12:46
215.9,12/29/21 13:01
215.8,12/29/21 13:16
215.7,12/29/21 13:31
216.28,12/29/21 13:46
216.58,12/29/21 14:01
216.68,12/29/21 14:16
216.22,12/29/21 14:31
216.97,12/29/21 14:46
217.62,12/29/21 15:01
217.62,12/29/21 15:31
217.62,12/29/21 15:46
215.07,12/30/21 08:30
215.54,12/30/21 08:46
217.56,12/30/21 09:01
218.36,12/30/21 09:16
218.15,12/30/21 09:31
219.34,12/30/21 09:45
217.98,12/30/21 10:01
218.67,12/30/21 10:16
218.59,12/30/21 10:30
218.19,12/30/21 10:46
219.51,12/30/21 11:01
218.86,12/30/21 11:15
218.35,12/30/21 11:30
218.0,12/30/21 11:46
218.67,12/30/21 12:01
217.68,12/30/21 12:16
217.42,12/30/21 12:31
217.61,12/30/21 12:46
216.55,12/30/21 13:01
216.36,12/30/21 13:16
216.33,12/30/21 13:31
216.54,12/30/21 13:46
216.14,12/30/21 14:01
215.4,12/30/21 14:16
215.95,12/30/21 14:31
214.8,12/30/21 14:46
213.89,12/30/21 15:01
213.89,12/30/21 15:16
213.89,12/30/21 15:31
213.89,12/30/21 15:46
209.72,12/31/21 08:31
214.01,12/31/21 08:46
211.96,12/31/21 09:00
211.6,12/31/21 09:15
212.31,12/31/21 09:31
211.85,12/31/21 09:45
212.23,12/31/21 10:01
212.23,12/31/21 10:16
213.66,12/31/21 10:30
213.81,12/31/21 10:46
212.87,12/31/21 11:01
212.49,12/31/21 11:16
211.79,12/31/21 11:30
211.74,12/31/21 11:45
212.32,12/31/21 12:01
212.26,12/31/21 12:15
212.47,12/31/21 12:30
211.7,12/31/21 12:45
211.77,12/31/21 13:01
211.32,12/31/21 13:16
211.38,12/31/21 13:31
210.82,12/31/21 13:46
211.42,12/31/21 14:01
211.57,12/31/21 14:15
212.12,12/31/21 14:31
212.23,12/31/21 14:46
212.03,12/31/21 15:01
212.03,12/31/21 15:16
212.03,12/31/21 15:31
212.03,12/31/21 15:46
214.7,01/03/22 08:31
216.62,01/03/22 08:46
217.19,01/03/22 09:01
217.98,01/03/22 09:16
219.59,01/03/22 09:31
220.5,01/03/22 09:46
221.61,01/03/22 10:01
221.28,01/03/22 10:16
221.3,01/03/22 10:31
220.53,01/03/22 10:46
219.73,01/03/22 11:01
219.51,01/03/22 11:16
219.8,01/03/22 11:31
219.41,01/03/22 11:46
219.41,01/03/22 12:01
220.12,01/03/22 12:16
219.73,01/03/22 12:31
219.46,01/03/22 12:46
219.14,01/03/22 13:01
218.81,01/03/22 13:15
220.12,01/03/22 13:31
220.76,01/03/22 13:46
221.21,01/03/22 14:01
221.23,01/03/22 14:16
220.5,01/03/22 14:31
220.46,01/03/22 14:46
221.27,01/03/22 15:01
221.27,01/03/22 15:16
221.27,01/03/22 15:31
221.27,01/03/22 15:46
222.65,01/04/22 08:31
221.38,01/04/22 08:46
220.12,01/04/22 09:01
219.42,01/04/22 09:16
218.05,01/04/22 09:31
213.95,01/04/22 09:46
212.1,01/04/22 10:01
211.46,01/04/22 10:16
211.78,01/04/22 10:31
212.66,01/04/22 10:45
211.7,01/04/22 11:00
212.34,01/04/22 11:16
211.7,01/04/22 11:31
211.37,01/04/22 11:46
210.6,01/04/22 12:01
211.1,01/04/22 12:16
211.02,01/04/22 12:31
211.7,01/04/22 12:46
209.9,01/04/22 13:01
210.7,01/04/22 13:16
211.05,01/04/22 13:31
211.1,01/04/22 13:45
211.65,01/04/22 14:01
212.48,01/04/22 14:16
213.3,01/04/22 14:31
214.25,01/04/22 14:46
214.89,01/04/22 15:01
214.89,01/04/22 15:16
214.89,01/04/22 15:31
214.89,01/04/22 15:46
211.38,01/05/22 08:31
210.08,01/05/22 08:45
212.29,01/05/22 09:00
211.2,01/05/22 09:15
209.83,01/05/22 09:30
209.21,01/05/22 09:45
210.37,01/05/22 10:01
209.34,01/05/22 10:16
208.97,01/05/22 10:31
208.4,01/05/22 10:45
208.81,01/05/22 11:00
208.18,01/05/22 11:16
208.0,01/05/22 11:31
206.34,01/05/22 11:46
206.24,01/05/22 12:01
206.22,01/05/22 12:16
207.17,01/05/22 12:31
206.62,01/05/22 12:45
207.01,01/05/22 13:01
205.78,01/05/22 13:15
206.47,01/05/22 13:30
204.13,01/05/22 13:46
203.32,01/05/22 14:01
202.79,01/05/22 14:16
201.79,01/05/22 14:31
202.69,01/05/22 14:46
201.66,01/05/22 15:01
201.66,01/05/22 15:16
201.66,01/05/22 15:31
201.66,01/05/22 15:45
203.99,01/06/22 08:30
204.99,01/06/22 08:45
202.77,01/06/22 09:01
197.74,01/06/22 09:16
202.72,01/06/22 09:31
201.86,01/06/22 09:45
205.47,01/06/22 10:01
205.68,01/06/22 10:16
203.25,01/06/22 10:31
203.21,01/06/22 10:46
203.69,01/06/22 11:01
203.81,01/06/22 11:15
203.29,01/06/22 11:30
203.95,01/06/22 11:46
202.43,01/06/22 12:00
202.13,01/06/22 12:16
201.78,01/06/22 12:31
202.8,01/06/22 12:46
203.26,01/06/22 13:00
203.06,01/06/22 13:16
202.65,01/06/22 13:31
203.18,01/06/22 13:46
203.9,01/06/22 14:00
204.53,01/06/22 14:16
203.93,01/06/22 14:31
202.8,01/06/22 14:46
204.04,01/06/22 15:01
204.04,01/06/22 15:15
204.04,01/06/22 15:31
204.04,01/06/22 15:46
202.71,01/07/22 08:31
202.15,01/07/22 08:46
200.37,01/07/22 09:00
198.11,01/07/22 09:16
197.11,01/07/22 09:31
194.49,01/07/22 09:45
194.3,01/07/22 10:01
194.38,01/07/22 10:15
194.29,01/07/22 10:30
194.59,01/07/22 10:45
195.01,01/07/22 11:01
195.89,01/07/22 11:16
194.58,01/07/22 11:31
194.48,01/07/22 11:45
194.97,01/07/22 12:01
195.27,01/07/22 12:16
195.03,01/07/22 12:31
195.38,01/07/22 12:46
194.2,01/07/22 13:00
193.64,01/07/22 13:16
193.14,01/07/22 13:31
193.9,01/07/22 13:45
194.47,01/07/22 14:01
193.71,01/07/22 14:16
193.15,01/07/22 14:31
192.66,01/07/22 14:46
193.07,01/07/22 15:01
193.07,01/07/22 15:16
193.07,01/07/22 15:30
193.07,01/07/22 15:46
190.0,01/10/22 08:31
185.9,01/10/22 08:45
186.93,01/10/22 09:01
187.29,01/10/22 09:15
188.16,01/10/22 09:31
186.9,01/10/22 09:45
185.44,01/10/22 10:01
187.66,01/10/22 10:15
