Thu Dec 16 09:40:03 EST 2021
Predicting price movement for: 2021-12-16
Loading word weights
['-', 'tighten', '0.0', '12', '24']
['-', 'towers', '0.0', '12', '24']
['-', 'tesla', '0.0', '51', '0']
['-', 'tech', '0.0', '15', '0']
['-', 'threatens', '0.0', '12', '0']
['-', 'third', '0.0', '12', '0']
['-', 'top', '0.0', '12', '24']
['-', 'them', '0.0', '12', '24']
['-', 'this', '0.0', '12', '24']
['-', 'time', '0.0', '13', '24']
['-', 'there', '0.0', '12', '24']
['-', 'turtle', '0.0', '12', '24']
['-', 'token', '0.0', '1', '0']
['-', 'today', '0.0', '3', '0']
['-', 'total', '0.0', '1', '0']
['-', 'their', '0.0', '1', '0']
['-', 'texas', '0.0', '1', '0']
['-', 'tributary', '0.0', '1', '0']
['-', 'twitch', '0.0', '1', '0']
['-', 'uber', '0.0', '12', '24']
['-', 'upgraded', '0.0', '12', '0']
['-', 'uipath', '0.0', '12', '0']
['-', 'ubisoft', '0.0', '1', '0']
['-', 'underrepresented', '0.0', '1', '0']
['-', 'users', '0.0', '1', '0']
['-', 'vip', '0.0', '24', '24']
['-', 'vulnerability', '0.0', '12', '0']
['-', 'view', '0.0', '12', '0']
['-', 'value', '0.0', '12', '24']
['-', 'vaneck', '0.0', '2', '0']
['-', 'video', '0.0', '1', '0']
['-', 'vertex', '0.0', '2', '0']
['-', 'valuation', '0.0', '1', '0']
['-', 'what', '0.0', '25', '24']
['-', 'why', '0.0', '38', '48']
['-', 'willis', '0.0', '12', '24']
['-', 'watson', '0.0', '12', '24']
['-', 'wealth', '0.0', '12', '0']
['-', 'watch', '0.0', '13', '0']
['-', 'winners', '0.0', '1', '0']
['-', 'with', '0.0', '2', '0']
['-', 'williams', '0.0', '1', '0']
['-', 'will', '0.0', '1', '0']
['-', 'website', '0.0', '1', '0']
['-', 'working', '0.0', '1', '0']
['-', 'xanthus', '0.0', '12', '0']
['-', 'xilinx', '0.0', '3', '0']
['-', 'xlnx', '0.0', '1', '0']
['-', 'you', '0.0', '1', '0']
['-', 'your', '0.0', '1', '0']
{'FB': [], 'MSFT': [], 'AAPL': [], 'NVDA': [], 'AMD': [], 'XLNX': [], 'QCOM': [], 'MU': []}
Analyzing weights
weight_stdev is 0.836551950607031
weight_stdev_o is 0.8006814755769069
weight_average is 0.5346784725864447
weight_average_o is 0.8281318681318681
stock_rating_sum_pred1 for FB is 0
stock_rating_cnt_pred1 for FB is 0
stock_rating_sum_pred2 for FB is 0
stock_rating_cnt_pred2 for FB is 0
stock_rating_sum_pred1 for MSFT is 0
stock_rating_cnt_pred1 for MSFT is 0
stock_rating_sum_pred2 for MSFT is 0
stock_rating_cnt_pred2 for MSFT is 0
stock_rating_sum_pred1 for AAPL is 0
stock_rating_cnt_pred1 for AAPL is 0
stock_rating_sum_pred2 for AAPL is 0
stock_rating_cnt_pred2 for AAPL is 0
stock_rating_sum_pred1 for NVDA is 0
stock_rating_cnt_pred1 for NVDA is 0
stock_rating_sum_pred2 for NVDA is 0
stock_rating_cnt_pred2 for NVDA is 0
stock_rating_sum_pred1 for AMD is 0
stock_rating_cnt_pred1 for AMD is 0
stock_rating_sum_pred2 for AMD is 0
stock_rating_cnt_pred2 for AMD is 0
stock_rating_sum_pred1 for XLNX is 0
stock_rating_cnt_pred1 for XLNX is 0
stock_rating_sum_pred2 for XLNX is 0
stock_rating_cnt_pred2 for XLNX is 0
stock_rating_sum_pred1 for QCOM is 0
stock_rating_cnt_pred1 for QCOM is 0
stock_rating_sum_pred2 for QCOM is 0
stock_rating_cnt_pred2 for QCOM is 0
stock_rating_sum_pred1 for MU is 0
stock_rating_cnt_pred1 for MU is 0
stock_rating_sum_pred2 for MU is 0
